date,host,video_id,offset,ist,underlying,option,setup,entry,sl,target1,target2,exit,result_pts,outcome,verified,notes
2026-08-05,chinmay,u-jxNXi-O_M,03:29:00,12:36,SENSEX,78700 PE,trend-re-entry,442.3,434.93,545.2,,462,20,win,frame,New position box on the same option (12:36 frame: entry 442.30 SL 434.93 target 545.20); at 12:42 he told holders to trail to 462; high 543.91; 457.65 on the 14:59 frame so the trail was hit; entry trigger not narrated
2026-08-06,chinmay,VRl6SfYXXiQ,00:24:00,09:25,SENSEX,78800 PE,range-breakout-direct,306.4,280.6,358,,298,-8.4,loss,frame,First breakout attempt above the 291-307 base with no follow-up candle; numbers taken from his own on-screen trade journal (12:06 frame); cut fast when it could not sustain
2026-08-06,chinmay,VRl6SfYXXiQ,00:31:00,09:32,SENSEX,78800 PE,consolidation-breakout-followup,310.8,293,357,,368,57.2,win,frame,Immediate follow-up re-entry on the same level; journal exit 368 booked ~10:04; a later ~382-390 peak came after that booking so it is not used as the exit
2026-08-06,chinmay,VRl6SfYXXiQ,01:18:00,10:19,SENSEX,78800 PE,pullback-first-green-candle,319.6,306,364,,366,46.4,win,frame,"Second re-entry after the peak faded; matches his live ""364 dot touch"" call; journal exit 366"
2026-08-07,chinmay,ayYEP_dKaLY,00:58:00,09:58,NIFTY,24500 CE,consolidation-breakout-followup,215,206,239,,~213,~-2,scratch,frame,"Follow-up entry above the 214-215 candle high; momentum never came so SL trailed to near cost; 209-214 on the 10:10 frame - matches his ""almost cost-to-cost"" recap"
2026-08-07,chinmay,ayYEP_dKaLY,01:15:00,10:15,NIFTY,24700 PE,consolidation-breakout-followup,178,172,189,,189,13,win,frame,Follow-up candle above the 173-178 base after repeated attempts; ~10 pts partial booked near 188; 191.85 on the 10:31 frame clears T1
2026-08-07,chinmay,ayYEP_dKaLY,03:15:00,12:15,NIFTY,24700 PE,consolidation-breakout-followup,~198,190,224,244,224,26,win,said,Re-entry once the PE broke above the 200 round number; swept down to 177.52 at 14:06 then back to 223.34; his recap states a 26 pt target was hit; the peak 223 is not used as the exit; PE gave it all back to ~162 by the close
2026-08-07,chinmay,ayYEP_dKaLY,04:33:00,13:33,SENSEX,78400 PE,telegram-vip-call,~391,,,,,,unclear,unverified,Telegram-relayed call never charted on the free stream - no Sensex option frame exists; he mentioned ~60 pts showing at 14:11 and called 469 the top; self-reported only so no points logged
2026-08-07,chinmay,ayYEP_dKaLY,04:55:00,13:55,NIFTY,24500 CE,liquidity-sweep-reversal,~176,~170,~184,,~154,-6,loss,frame,SBI-results sweep at a pre-marked third-test support; he called the entry exact but the 14:06 frame shows 154.25 - well past the stop; the sweep was continuation into news not a reversal
2026-08-18,chinmay,sj_SDOjZFSI,00:13:00,09:25,NIFTY,24100 CE,consolidation-breakout-followup,148,143,169,183,183,35,win,frame,Entered just above the breakout-attempt candle (not the poke through 148) with ~5 pt risk; T1 169 hit by 09:27 then risk-free and trailed; 184.17 on the 09:49 frame confirms T2 183; it round-tripped to ~136 later but long after booking
2026-08-18,chinmay,sj_SDOjZFSI,00:35:00,09:47,NIFTY,24400 PE,consolidation-breakout-followup,~175,167,196,,196,21,win,frame,Breakout of a level defended since 09:43; 197.30 on the 10:22 frame confirms the target
2026-08-18,chinmay,sj_SDOjZFSI,01:40:00,10:52,NIFTY,24400 PE,aggressive-continuation-entry,197,~185,219,232,~220,23,win,said,"He wanted a pullback into 177-183 but it never came so he took what he called an aggressive entry with a bigger ~9-12 pt stop; trailed 191>195>209; T1 219 hit and ""fully booked"" ~11:31; he called the move 28 pts; T2 232 never confirmed"
2026-08-18,chinmay,sj_SDOjZFSI,03:11:00,12:23,NIFTY,24100 CE,pullback-first-green-candle,~117,~105,131,139,~118,0,scratch,frame,Pullback re-entry after the big morning move; rallied to ~130 then in his words came back to where it started; 117.90 on the 12:38 frame
2026-08-18,chinmay,sj_SDOjZFSI,03:32:00,12:44,NIFTY,24200 CE + 24200 PE,jodi-long-straddle,39,~19,,,~28,-10.5,loss,said,ATM straddle in the afternoon chop; spot stayed pinned to 24200 so both legs bled; cut at ~14:49 well inside the planned stop
2026-08-20,chinmay,2gndmZYrtPw,00:09:00,13:47,SENSEX,77200 CE,telegram-vip-call,282,262,306,346,,,unclear,unverified,Pre-market Telegram alert (screenshot shows entry 282-286 SL 262 TP 306/326/346); he claims it ran to ~428 for ~118 pts but this strike never appears as a live chart and his two numbers do not reconcile - no points logged
2026-08-20,chinmay,2gndmZYrtPw,00:22:00,13:59,SENSEX,77900 PE,consolidation-breakout-followup,354,333,421,,~350,~-4,scratch,frame,Breakout above the 353 hurdle with SL at the breakout candle low; trailed 333>341>~350; peaked 392.80 then reversed; 332-346 on the 14:20 frame so booked near breakeven. His recap claims a separate +40 re-entry near 350 but no second position box exists - not logged separately to avoid double counting
2026-08-20,chinmay,2gndmZYrtPw,00:53:00,14:30,SENSEX,77300 CE,consolidation-breakout-followup,283,265,311,368,265,-18,loss,unverified,Breakout above the 283 base; 288.94 and in profit on the 14:35 frame; no exit narrated; a ~15:16 frame shows the panel well below the 265 stop so logged as stopped there
2026-08-21,chinmay,Gxy5ftj5Z6U,00:52:00,09:53,NIFTY,24200 CE,range-breakout-direct,~141,135,164,166,135,-6,loss,frame,"Waited ~15 min for a 131-133 pullback that never came then bought the raw breakout candle; SL hit at 10:04 (he says ""hit ho gaya""); 10:04 frame shows the candle low at 134.00"
2026-08-21,chinmay,Gxy5ftj5Z6U,01:52:00,10:53,SENSEX,77700 CE,telegram-vip-call,426,404,448,468,,,unclear,unverified,Telegram-only entry narrated after the fact; the 11:04 frame shows the actual VIP message (BUY 77700 CE 424-428 SL 404 TP 448/468/508); he confirmed the fill and T1 hit then trailed to 419; TP2/TP3 never confirmed; outcome only stated verbally (the frame shows the call message not its result) so no points under the Telegram rule
2026-08-21,chinmay,Gxy5ftj5Z6U,02:32:00,11:33,NIFTY,24400 PE,base-reversal-aggressive-or-confirm,143,137,153,164,153,~10,win,said,Took the confirmation entry (143 - 6.5 pt risk) over the aggressive 138/139 alternative; 151.10 on the 12:08 frame; told viewers to book near 153 and trail the rest to breakeven; logged at confirmed T1 though it likely ran further
2026-08-21,chinmay,Gxy5ftj5Z6U,05:07:00,14:08,SENSEX,77800 PE,consolidation-breakout-followup,423.67,400.55,461,,~400,-21,loss,frame,He waited for a clear higher high after a failed breakout rather than a pullback - his stated rule - and it still failed; SL cut at 14:17; 390.15 on the 14:31 frame
2026-08-25,chinmay,hkQBf4EvCuo,00:20:00,09:20,NIFTY,24300 PE,base-reversal-aggressive-or-confirm,120,111,153,157,111,-9,loss,frame,"Reversal at the PE base with an 8 pt SL; stopped by 09:29-09:34 per frames; he shrugged it off (""koi baat nahi"")"
2026-08-25,chinmay,hkQBf4EvCuo,01:05:00,10:05,NIFTY,24000 CE,pullback-first-green-candle,163,154,183,193,195,~32,win,said,Pullback entry into the 153-158 base; SL trailed 154 then 195 by 11:56; exit taken at the last named trail not the ~210 peak
2026-08-25,chinmay,hkQBf4EvCuo,04:04:00,13:04,NIFTY,24000 CE,base-reversal-aggressive-or-confirm,~150,~145,170,187,185,~35,win,said,"Re-entry after a deep pullback into the 140s with a visibly redrawn smaller position box; he said ""150 se 185""; the CE ran on to 228 by 14:33 but no separate entry was stated so that leg is not logged"
2026-08-25,chinmay,hkQBf4EvCuo,04:29:00,13:29,NIFTY,24300 PE,liquidity-sweep-reversal,144,138,160,,160,16,win,frame,Day-low sweep then pin bar and follow-up green candle; T1 160 booked; the PE later crashed to ~112 by 13:55 so the tight trail mattered
2026-08-25,chinmay,hkQBf4EvCuo,05:20:00,14:20,NIFTY,24200 CE + 24150 PE,jodi-long-straddle,25,13,45,,~47,22,win,said,"Combined premium ~25 with SL half and target roughly double; he stated the net result himself (""jodi net net 22 ka profit"")"
2026-09-03,chinmay,vK9x0XEwaAg,00:28:00,09:30,SENSEX,76600 CE,consolidation-breakout-followup,303,275,376,384,~336,~33,win,frame,Hard-trigger entry above 297-303 make-or-break band; peak 365.45 then 336.75 on the 09:48 frame; 376/384 never seen hit; exit not stated so marked at last frame
2026-09-03,chinmay,vK9x0XEwaAg,00:58:00,10:00,SENSEX,77200 PE,consolidation-breakout-followup,~377,357,407,550,~511,~134,win,frame,Textbook breakout + follow-up taught live; 405 at 10:17 / 532.55 at 11:18 / 444 at 11:41 / 511 at 12:03 then rolled into 77000 PE
2026-09-03,chinmay,vK9x0XEwaAg,02:10:00,11:12,SENSEX,76600 CE,base-reversal-aggressive-or-confirm,~194,180,236,320,233,~39,win,said,Pin-bar re-entry after the CE cheapened; SL trailed 192>208>214>233; price hit 254-270 then crashed to 163-190 by 12:19 so exit taken at the 233 trail
2026-09-03,chinmay,vK9x0XEwaAg,03:05:00,12:07,SENSEX,77000 PE,pullback-first-green-candle,~305,~290,389,524,389,~84,win,said,Rolled from 77200 PE; single-candle entry at the 300-309 bounce zone (entry inferred - host on a call 12:13-12:17); he said it touched target directly; 392.20 on the 12:19 frame
2026-09-03,chinmay,vK9x0XEwaAg,03:56:00,12:58,SENSEX,76400 CE,consolidation-breakout-followup,~310,287,340,394,340,~30,win,frame,Breakout + follow-up taught again; SL trailed 309>322>324; T1 340 cleared and a tick at 394.29 on the 13:19 frame; exit not stated so booked at T1
2026-09-04,chinmay,YtqPA0aKkzE,00:31:00,09:46,NIFTY,23900 CE,consolidation-breakout-followup,136,130,149,168,149,~13,win,said,Breakout above the tight 136-139 base after two failed pokes; T1 149 said tagged ~09:52; final exit not stated; the 171.55 high on the 11:33 frame belongs to a later re-entry box (entry ~158.7 SL 154.9) not this position
2026-09-04,chinmay,YtqPA0aKkzE,00:52:00,10:07,NIFTY,24050 PE,range-breakout-direct,134,129,145,156,129,-5,loss,frame,Direct breakout entry without a follow-up candle; strict SL 129; 124 on the 10:35 frame
2026-09-04,chinmay,YtqPA0aKkzE,02:29:00,11:44,NIFTY,24050 PE,liquidity-sweep-reversal,~117,~111,125,139,139,~22,win,frame,First reversal sign after the PE swept the day's distribution zone; T1 125 said hit; SL trailed to 124 then 122 and never touched; 141-142 on the 12:37 frame clears T2 139
2026-09-04,chinmay,YtqPA0aKkzE,03:23:00,12:38,NIFTY,23900 CE,pullback-first-green-candle,~142,136,155,,149,~7,win,said,Pullback entry after the morning CE cooled; 154.86 near T1 at 14:28; host said trailing SL hit at 149 at 14:40
2026-09-07,chinmay,JhSkNorpW6w,00:35:00,09:37,NIFTY,24000 PE,range-breakout-direct,~174,166,204,,166,-8,loss,said,Momentum stalled after entry; stopped quickly; rolled to cheaper 23950 PE right after
2026-09-07,chinmay,JhSkNorpW6w,00:44:00,09:46,NIFTY,23950 PE,consolidation-breakout-followup,136.9,128.4,143.7,181,~165,~27,win,frame,Rolled here after the previous SL; follow-up green candle after a 3-4 candle consolidation; spot broke 23800; trailed 144>148>152>155>161; peak ~171 by 11:15; 181 target never hit on frames
2026-09-07,chinmay,JhSkNorpW6w,02:39:00,11:41,NIFTY,23750 CE,base-reversal-aggressive-or-confirm,~113,107,125,138,~123,~10,win,unverified,Pin-bar reversal near demand zone after a long put move; day-low SL; part-booked ~123 then rolled to 23700 CE
2026-09-07,chinmay,JhSkNorpW6w,04:03:00,13:05,NIFTY,23950 PE,base-reversal-aggressive-or-confirm,~165,161,181,,~158,-7,loss,unverified,First-bounce attempt with 3-4 pt risk; closing candle broke the zone; cut per plan
2026-09-07,chinmay,JhSkNorpW6w,04:36:00,13:38,NIFTY,23700 CE,consolidation-breakout-followup,~149,141,165,,165,16,win,said,Hard trigger above 149 hurdle to trap last sellers; target 165 called hit ~13:55
2026-09-07,chinmay,JhSkNorpW6w,05:38:00,14:40,NIFTY,23950 PE,pullback-first-green-candle,~140,136,147,160,~147,~7,win,unverified,W-pattern reversal near demand zone late day; 3-5 pt risk; T1 booked into close
2026-09-07,chinmay,JhSkNorpW6w,05:44:00,14:46,NIFTY,23700 CE,late-re-entry-fade,~136,133,147,,~133,-3,loss,unverified,Late re-entry near a zone that had already given its big move; stopped in 3pm chop
2026-09-08,chinmay,s3r5EJy4cw8,00:20:00,09:20,NIFTY,23850 PE,consolidation-breakout-followup,161,153,178,184,~172,11,win,said,Follow-up candle above 158-160 base; SL trailed 154>163>165>167>BE; viewers booked 9-25 pts by 09:44
2026-09-08,chinmay,s3r5EJy4cw8,01:04:00,10:02,NIFTY,23850 PE,consolidation-breakout-followup,180.2,171,184,198.4,~171,-9,loss,frame,Second breakout above 180; option stalled ~182 while spot moved; he said accept the SL at 10:06; frame 10:07 shows 167.50
2026-09-08,chinmay,s3r5EJy4cw8,02:01:00,11:01,NIFTY,23550 CE,base-reversal-aggressive-or-confirm,141,134,154,173,~141,0,scratch,unverified,Pin-bar reversal after a long wait; moved +6-9 then chopped; exit not stated
2026-09-08,chinmay,s3r5EJy4cw8,03:15:00,12:15,NIFTY,23850 PE,consolidation-breakout-followup,~182,172,184,209.4,~199,~17,win,frame,Afternoon trendline-break resumption; PCR 0.56 max pain 23800; PE ~199 at 13:50; 209.38 target never hit on frames
2026-09-08,chinmay,s3r5EJy4cw8,04:14:00,13:12,NIFTY,23700 CE + 23650 PE,jodi-long-straddle,52,27,85,100,~85,~33,win,unverified,Combined-premium straddle on expiry day; long flat theta bleed then spot fell late; combined ~85 reported but not shown on a frame
2026-09-08,chinmay,s3r5EJy4cw8,05:09:00,14:09,NIFTY,23850 PE,pullback-first-green-candle,183,179,195,208,~190,~7,win,unverified,4-pt-risk pin-bar reversal late day; some booked +6-7; others claimed 197+
2026-09-10,trade-circuit,_v3ieKuYGRc,01:21:00,10:38,SENSEX,74700 CE,close-above-level-entry,218,~193,240,258.8,~258,~40,win,said,Guest host; entry on spot candle close above marked line; SL/target on spot chart; part-booked 20/33/40
2026-09-10,trade-circuit,_v3ieKuYGRc,01:52:00,11:09,SENSEX,74600 CE,close-above-level-entry,257.05,232,280,328.04,~300,~45,win,frame,Rolled from 74700 CE; host claimed +65 but frames show peak ~305-313; 328.04 was the drawn target
2026-09-10,trade-circuit,_v3ieKuYGRc,02:24:00,11:41,SENSEX,74900 PE,pullback-to-marked-zone,239,~213,~259,,~220,-19,loss,said,Aggressive entry into marked zone; ran +20 then reversed below entry
2026-09-10,trade-circuit,_v3ieKuYGRc,04:32:00,13:49,SENSEX,74600 CE,close-above-level-entry,237,~213,257,,~227,-10,loss,said,Re-entry after spot re-marked level; stopped quickly (after the 12:23 BSE glitch)
2026-09-10,trade-circuit,_v3ieKuYGRc,04:45:00,14:02,SENSEX,74900 PE,pullback-to-marked-zone,239,~226,260,,~257,18,win,said,Pullback entry after a strong rejection candle; booked early
2026-09-10,trade-circuit,_v3ieKuYGRc,05:21:00,14:38,SENSEX,74900 CE + 74400 PE,jodi-long-straddle,~105,~55,~205,,,,unclear,unverified,Combined straddle 57+48; combined SL 50 target 100; final exit not shown before stream ended
2026-09-11,trade-circuit,qEYKvXFibAU,00:17:00,12:59,NIFTY,23300 CE,close-above-level-entry,142,132,,,~133,-9,loss,frame,Guest method on Nifty; entry on spot close above the marked line with ~10 pt SL; frame 13:15 shows the closed spot box at -9.21; cut fast
2026-09-11,chinmay,qTDwaNEZ2RY,00:33:00,09:35,NIFTY,23150 CE,range-breakout-direct,181,170,210,,173.6,-7.5,loss,frame,Breakout above pin-bar high 178 failed; trapped; cut fast at 09:40
2026-09-11,trade-circuit,qEYKvXFibAU,00:44:00,13:26,NIFTY,23300 CE,close-above-level-entry,~128,,,,~192,~64,win,frame,Re-entry on the next black-line close after the first SL; SD1/SD2 zones used as trailing targets; 220 high by 14:12; exit never stated so marked at the 14:15 frame (192) while still open - an open mark not a booked figure
2026-09-11,chinmay,qTDwaNEZ2RY,01:03:00,10:06,NIFTY,23150 CE,consolidation-breakout-followup,182,173,210,244,210,28,win,frame,3rd attempt; tight consolidation at top; follow-up candle entry; spot broke 23269-276 base to 23312; trailed 177>182>184>192>197
2026-09-11,trade-circuit,qEYKvXFibAU,01:44:00,14:26,NIFTY,23400 CE,close-above-level-entry,~129,~116,~140,,~129,~10,win,said,Rolled to 23400 CE once 23300 CE ran too far; touched 149.5 then gave it back; his recap says 10 pts booked twice before a shakeout; exit near cost ~15:01
2026-09-11,chinmay,qTDwaNEZ2RY,01:45:00,10:47,NIFTY,23350 PE,liquidity-sweep-reversal,128.3,123.2,139,155.6,~125,0,scratch,said,Swept prior low (~120) then bullish candle; went +7 then faded; trailed to cost 11:07
2026-09-11,chinmay,qTDwaNEZ2RY,02:19:00,11:21,NIFTY,23150 CE,pullback-first-green-candle,~255,247.5,268,297,~253+,12,win,frame,T1 268 touched 11:44; SL trailed to 253; final exit not stated (partial)
2026-09-11,chinmay,qTDwaNEZ2RY,02:50:00,11:52,NIFTY,23450 PE,base-reversal-aggressive-or-confirm,156,151,196,227,~152,-5,loss,said,Aggressive near zone (SL 4-5) vs confirmation >161; put never gained strength; cut <152 ~12:35
2026-09-15,chinmay,JBPc4_cTou4,00:19:00,09:19,NIFTY,23650 PE,consolidation-breakout-followup,172,161,199,235,~259,87,win,frame,"Hard trigger 172 named in advance above a barrier rejected 2-3 times; explicit breakout-then-follow-up call (""फॉलो अप वो वाला सिनेरियो""); T1 199 and T2 235 both confirmed hit; trailed to 259 confirmed hit 10:02 (""डन विद पुट""); 10:03 frame shows 260.20 matching trail; peak 309 not used as exit"
2026-09-15,chinmay,JBPc4_cTou4,01:44:00,10:44,NIFTY,23500 PE,base-reversal-aggressive-or-confirm,~144,~133,190,,290.70,~147,win,frame,Confirmation entry (engulfing candle + fresh high) after rolling from 23650 PE; called hattrick by 10:51; never stopped out on any frame through 14:21; no exit stated on stream so logged at last open-mark frame (290.70 at 14:21) not a booked figure; viewer chat report excluded
2026-09-15,chinmay,JBPc4_cTou4,04:26:00,13:26,NIFTY,23250 PE + 23350 CE,jodi-long-straddle,47,~23,70,75,~72,25,win,said,"Combined premium confirmed via 13:27 option-chain frame (PE 25.00 + CE 23.65); SL half combined; confirmed target-zone touch at 13:34 (""इसने टच कर दिया टारगेट ज़ोन यह फाइनल टारगेट ज़ोन था""); logged at confirmed touch not later chat-reported drift to ~90"
2026-09-15,chinmay,JBPc4_cTou4,06:09:00,15:09,NIFTY,~23100 PE + ~23250 CE,jodi-long-straddle,~52,~26,~90,,~64,,unclear,unverified,"Strikes garbled in captions no clean position-box frame; at 15:12 he said combined reached 75-85 and viewers ""can book"" but never states he actually booked it and explicitly defers ""verified PnL"" to later (""निकलने से पहले मैं बता दूंगा""); last clear number is legs at 63-64 (15:19-15:20) with 90 only a hoped-for level; downgraded from the sub-agent's proposed win/said to unclear per CLAUDE.md's evidence bar for a stated outcome"
2026-09-16,chinmay,MK1NfHWN24M,00:22:00,09:24,SENSEX,74300 PE,base-reversal-aggressive-or-confirm,~310,275,408,474,410,~100,win,frame,Aggressive entry named at the 260-310 base with a 30pt SL below 275; multiple viewers confirmed fills at 310; frame at 09:41 shows live price 434-439 clearing the 408-410 target zone he said was met; later viewer-reported exits near 437 and the 532.94 peak by 09:56 are not used
2026-09-16,chinmay,MK1NfHWN24M,00:34:00,09:36,SENSEX,74300 CE,range-breakout-direct,~325,295,,,295,~-30,loss,frame,Direct entry once price sustained above 324-325 with no follow-up-candle wait SL at day low 294-295; he called it a quick backfire; frame at 09:39 shows price already at 271 and by 09:41 at 245.15 well past the stop
2026-09-16,chinmay,MK1NfHWN24M,00:54:00,09:56,SENSEX,74300 PE,trend-re-entry,~320,~300,446,,~375,~55,win,frame,Fresh doji-high entry after the first PE's violent round trip to a 532.94 peak and back; ~20pt risk off the doji low; by 10:11 he said 70pts already captured via part-booking; at 10:16 he confirmed the trailing stop hit and the frame shows 375.05 live; logged at that frame mark not the earlier 70pt claim
2026-09-16,chinmay,MK1NfHWN24M,01:46:00,10:48,SENSEX,74300 CE,breakout-close-confirm,~350,380,465,542,,,unclear,unverified,Hard-trigger plan named well in advance (work above 410 SL 378-380 targets 465/542 after a liquidity-sweep pin bar) but by 11:23 he said it turned around before confirming and referenced people who got it around 350; frame shows the CE spiked to 415-420 then fell to 331; unclear whether Chinmay himself filled this so no points logged
2026-09-16,trade-circuit,MK1NfHWN24M,02:52:00,11:54,SENSEX,74400 PE,close-above-level-entry,352.8,320.21,432.08,,403.92,51.12,win,frame,"From his journal (11:20 AM entry on his own book); this is the position he continued narrating live the moment he took over hosting at 11:52; major quantity booked near this level and his on-air ""50 points"" recap at 11:59 matches the journal's 51.12 almost exactly"
2026-09-16,trade-circuit,MK1NfHWN24M,03:40:00,12:42,SENSEX,74400 CE,close-above-level-entry,~315,,,,~350,,unclear,frame,Close-above-black-line entry narrated live near 315; frames at 13:00 and 13:40 show 366-367 with a decline back to ~280 by 13:30; no exit was ever stated on stream and this trade does not appear in his own 3-row end-of-day journal tally; logged at a representative frame mark not a booked figure
2026-09-16,trade-circuit,MK1NfHWN24M,04:39:00,13:41,SENSEX,74300 PE,close-above-level-entry,~325,,,,~323,~-3,loss,frame,Limit entry filled at 325 on a black-line close per his spot-based method; frame at 13:59 shows a closed position tool on the spot chart reading Closed P&L -6.74 Qty 37 right when he said to exit for no benefit; small loss near breakeven; also absent from his 3-trade journal tally
2026-09-16,trade-circuit,MK1NfHWN24M,06:10:15,15:13,SENSEX,74300 PE,close-above-level-entry,462.25,435.25,609.34,,435.25,-27,loss,frame,From his own TRADE RECORDS journal shown on a frame at 15:13 (09:48 AM trade taken on his own book while Chinmay was on camera); he said nobody really took this one so it was not a call for viewers; not narrated live on this stream
2026-09-16,trade-circuit,MK1NfHWN24M,06:10:15,15:13,SENSEX,74300 CE,close-above-level-entry,333,275.86,418.47,,384,51,win,frame,From his own TRADE RECORDS journal shown at 15:13 (10:18 AM trade on his own book while Chinmay was on camera); not narrated live on this stream
2026-09-17,chinmay,njvG_Pr9CpM,00:19:00,09:20,SENSEX,74500 PE,base-reversal-aggressive-or-confirm,295.72,274.49,335,400,~305,~9.3,win,frame,"Position box on the 09:31 frame reads entry 295.72 SL 274.49 box top 400.32; primary target 335 touched (""प्राइमरी टारगेट एकदम टच"") then he moved the SL to 309 and 304-305; the same frame shows 281.70 so exit at the named 305 trail (the sub-agent's 292 entry and +17 were not on any frame)"
2026-09-17,chinmay,njvG_Pr9CpM,00:45:00,09:46,SENSEX,74100 CE,consolidation-breakout-followup,375.5,322.49,464.44,535,482,106.5,win,frame,"Hard trigger named in advance (""हम 376 के ऊपर काम करने की कोशिश करेंगे""); box on the 09:46 frame entry 375.50 SL 322.49 target 464.44; he also offered a low-risk 350 entry at the base but the box trigger is logged (conservative); peaked ~535 on the 10:06 frame; trail named 404 > 420 > 449 > 482 at 10:10; the 10:37 frame shows ~405-450 so the 482 trail was hit"
2026-09-17,chinmay,njvG_Pr9CpM,01:41:00,10:42,SENSEX,74500 PE,base-reversal-aggressive-or-confirm,~230,210,291,,291,~61,win,said,"Second put entry after the pullback into the base; at 10:42 he called the 210 SL a ~20 pt stop so entry ~230; target 291 set at 10:45; ""done and dusted 291 का एग्जिट"" at 11:03; the 10:45 frame shows 251.55 and the 11:03 frame high is 287.10 so the 291 print rests on his word"
2026-09-17,chinmay,njvG_Pr9CpM,03:46:00,12:47,SENSEX,74800 PE,base-reversal-aggressive-or-confirm,305.36,292.06,402,480,480,174.6,win,frame,Refused random reversals and required price to sustain above 303; box on the 13:27 frame entry 305.36 SL 292.06; chopped near entry for ~18 min; trail 329 > 360 > 405; first target 13:24; at 13:28 he said trailing SL and target both hit and at 13:32 to book fully; the 13:31 frame shows 478.30 (candle high 496) so exit at the confirmed 480 target (the sub-agent's SL 276 and ~495 exit were not supported)
2026-09-17,chinmay,njvG_Pr9CpM,04:39:00,13:40,SENSEX,74300 PE + 74400 CE,jodi-long-straddle,240,130,390,420,~270,30,win,said,"Combined ~240 at 13:42 with a ~110 combined stop and a 150-180 target; at 14:14 he said ""जोड़ी में नेट नेट 30 पॉइंट"" and ~35-40 running at 14:21; his recap says the first jodi went well; logged at the stated net 30 since no booked exit was named"
2026-09-17,chinmay,njvG_Pr9CpM,04:40:00,13:41,SENSEX,74100 CE,liquidity-sweep-reversal,320,295,452,,,,unclear,unverified,"Offered as the directional alternative to the jodi (""अगर इसने लिक्विडिटी ली हुई है ... थोड़ा सस्टेन करता है""); SL 295 under the swing low; target 452-453; at 14:06-14:09 he said part-book near 360 and trail to entry; no exit stated and not in his own four-trade tally so no points logged"
2026-09-17,chinmay,njvG_Pr9CpM,06:13:00,15:14,SENSEX,74300 PE + 74500 CE,jodi-long-straddle,215,,,,,,loss,said,"Cash-session jodi at 15:14 with combined 215 while spot sat still; at 15:21 he said exit in 2-3 minutes and ""ये वाली फ्लॉप हो गई""; recap calls it a complete failure; no exit price stated so the loss is logged without points"
2026-09-18,chinmay,EPh5qxWEUhU,00:18:00,09:25,NIFTY,23400 PE,pullback-first-green-candle,145.47,~139,169,187.3,~158,~12.5,win,frame,"Planned as a pullback at 09:20-09:25 (""पुलबैक का एक कैंडल हमने प्लान किया"") and entered on the first green candle near 145 with a ~5pt risk; box on later frames reads 145.47 / 141.68 (his spoken SL was 138-139); +15 by 09:28 (161.85 live) then trail named 157-159 and a 187 second target; the 09:35 frame shows ~166-167 stall and the 09:38 frame shows 155.70 below the 159 trail so the trail was hit; 169 never touched (candle high ~167.6); exit logged at ~158 (his named trail) not the peak; ""exited with 15"" lines were viewers"
2026-09-18,chinmay,EPh5qxWEUhU,00:35:00,09:42,NIFTY,23300 CE,consolidation-breakout-followup,124.17,116.58,136.57,~156,116.58,-7.59,loss,frame,"Hard trigger named in advance (""124 के ऊपर जैसे ही निकलता है आप काम करने के लिए आओ"" SL 116 primary 136 secondary 156) after small candles under the level; box on the 09:42 frame reads 124.17 / 116.58 / 136.57; the 09:44 frame shows the CE candle low 114.90 below the stop; ""रिजेक्ट ही मार दिया ... स्टिक स्टॉप लॉस"" at 09:43 and his 10:56 tally lists a 7pt loss; slug rests on the named trigger price only (no separate follow-up candle was waited for)"
2026-09-18,chinmay,EPh5qxWEUhU,01:33:00,10:40,NIFTY,23400 PE,breakout-close-confirm,155.87,146.37,167.64,179.32,~147,~-9,loss,said,"He waited for a strong candle above the 155-156 fresh-resistance zone with targets 166 and 179; box on the 10:42 frame reads entry 155.87 SL 146.37; PE spiked to ~159.4 then dropped to 148-151 and never trended; at 10:52 he said cut it once if it goes lower and at 10:56 the day tally was ""7 और 9 पॉइंट के लॉसेस"" (the frame at 10:56 shows 148.25 live with the low ~146.5); the fill and exit were not narrated so the exit ~147 is inferred from that tally"
2026-09-18,chinmay,EPh5qxWEUhU,02:43:00,11:50,NIFTY,23250 CE,liquidity-sweep-reversal,~143,~139,158,,~153.8,,unclear,unverified,"Offered to viewers after the CE swept the day low (11:08 sweep remark): above 143 with a ~10pt stop or a 141 pullback with SL 136 and target 158; no position box no stated fill and no exit; frames show CE high ~156.2 at 11:59 (158 not touched) and 153.8 at 12:03; exit is a frame mark not a booked price so no points logged"
